Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Variant Weight Unit,Included / Singapore,Included / Australia,Included / Eurozone,Included / India,Included / International,Included / Japan,Included / United Kingdom,Included / United States,Status
dz-ss16-011,"DZ-SS16/011 Mad Flame Monster, Blezergas [RRR]","<p><strong>Mad Flame Monster, Blezergas</strong></p>
<p>Card Number: DZ-SS16/011</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/011,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_011.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-012,"DZ-SS16/012 Silverstar Dragon, Seyferd [RRR]","<p><strong>Silverstar Dragon, Seyferd</strong></p>
<p>Card Number: DZ-SS16/012</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/012,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_012.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-013,"DZ-SS16/013 White Jeweled Beast, Synthetica [RRR]","<p><strong>White Jeweled Beast, Synthetica</strong></p>
<p>Card Number: DZ-SS16/013</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ブラントゲート</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/013,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_013.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-014,"DZ-SS16/014 Forefront Knight, Teithfallt [RRR]","<p><strong>Forefront Knight, Teithfallt</strong></p>
<p>Card Number: DZ-SS16/014</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/014,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_014.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-015,"DZ-SS16/015 Knight of Starry Skies, Zero [RRR]","<p><strong>Knight of Starry Skies, Zero</strong></p>
<p>Card Number: DZ-SS16/015</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/015,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_015.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-016,"DZ-SS16/016 Yellow Jeweled Beast, Tolpaz [RRR]","<p><strong>Yellow Jeweled Beast, Tolpaz</strong></p>
<p>Card Number: DZ-SS16/016</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/016,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_016.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-017,"DZ-SS16/017 Brilliant Dragon, Bradiark [RRR]","<p><strong>Brilliant Dragon, Bradiark</strong></p>
<p>Card Number: DZ-SS16/017</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/017,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_017.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-018,"DZ-SS16/018 Knight of All Night, Esnia [RRR]","<p><strong>Knight of All Night, Esnia</strong></p>
<p>Card Number: DZ-SS16/018</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ケテルサンクチュアリ</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/018,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_018.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-019,"DZ-SS16/019 Deeplands, Meydith [RRR]","<p><strong>Deeplands, Meydith</strong></p>
<p>Card Number: DZ-SS16/019</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 2</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/019,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_019.png,1,false,kg,true,true,true,true,true,true,true,true,active
dz-ss16-020,"DZ-SS16/020 Illusivewing Dragon, Fjarmja [RRR]","<p><strong>Illusivewing Dragon, Fjarmja</strong></p>
<p>Card Number: DZ-SS16/020</p>
<p>Rarity: RRR</p>
<p>Grade: グレード 1</p>
<p>Nation: ストイケイア</p>",Cardboard Collectible,Vanguard Singles,"Vanguard, Vanguard Singles, Singles, DZ-SS, DZ-SS16",true,Title,Default Title,,,,,DZ-SS16/020,0.002,shopify,0,deny,manual,,true,true,https://cf-vanguard.com/wordpress/wp-content/images/cardlist/DZ-SS16/dzss16_020.png,1,false,kg,true,true,true,true,true,true,true,true,active
